	Portugues	Українська	日本語	한국어	简体中文	繁體中文	UI language name
1136	Nao se preocupe, voce vai se recuperar em pouco tempo!	Не хвилюйтеся, ви швидко одужаєте!	心配しないで！すぐに回復しますよ！	걱정 마세요, 곧 기운 차리실 거예요!	别担心，您很快就会恢复的！	別擔心，您很快就會恢復的！	Amy
1137	Todo dia e um passo perto de uma recuperacao completa.	Кожен день - це крок до повного одужання.	全快に向けて毎日一歩ずつ近づいていますよ。	하루하루 건강을 향하여 점점 가까워 지는 거죠.	每一天都在向痊愈迈进。	每一天都在向痊癒邁進。	Amy
1138	Cuide-se, sua saude e mais importante.	Бережіть себе, здоров'я - найважливіше.	体に気をつけてくださいね、健康第一ですよ。	몸 간수 잘 하세요. 건강이 제일이랍니다.	保重身体，健康最重要。	保重身體，健康最重要。	Amy
1139	Lembre-se de permanecer positivo, isso faz a diferenca.	Залишайтеся оптимістом, це важливо.	前向きな気持ちでいることを忘れないでください。それだけでもずいぶん違いますよ。	긍정적인 생각만 하세요. 그럼 확실히 변화가 있어요.	记住要保持积极乐观的态度，这样才能有所作为。	記住要保持積極樂觀的態度，這樣才能有所作為。	Amy
1140	O caminho para a recuperacao pode ser longo, mas eu estarei com voce.	Шлях до одужання може бути довгим, але я буду з вами.	回復までの道のりは長いかもしれませんけど、私がついています。	회복까지는 아직 갈 길이 멀지 몰라도, 저는 항상 사장님 곁에 있을게요.	康复之路或许漫长，但我会与您同在。	康復之路或許漫長，但我會與您同在。	Amy
1141	Seja paciente e confie no processo de cura.	Наберіться терпіння і довіртеся лікарям.	辛抱強くなって、治療を信じましょう。	인내심을 갖고 치료 과정을 믿으세요.	保持耐心，相信康复的过程。	保持耐心，相信康復的過程。	Amy
1142	Seus amigos desejaram a voce um feliz aniversario e te deram {global.podarunok}.	Ваші друзі привітали вас з днем народження та подарували {global.podarunok}.	お友達たちが誕生日のお祝いに、{global.podarunok}をくれました。	친구들이 생일을 축하하며 {global.podarunok}을 선물로 주었습니다.	您的朋友祝您生日快乐，并送给您 {global.podarunok}。	您的朋友祝您生日快樂，並送給您 {global.podarunok}。	Amy
1143	Uau, algum amigo seu decidiu te dar um carro!	Ого, якийсь ваш друзяка вирішив подарувати вам машину!	わあ、お友達がプレゼントに車をくれるそうですよ！	우와, 친구들이 선물로 차를 사 주었습니다!	哇，您的哪位朋友这么大方，居然送了您一辆车！	哇，您的哪位朋友這麼大方，居然送了您一輛車！	Amy
1144	Seu nome	Ваше ім'я	名前	이름	您的名字	您的名字	UI
1145	Seu aniversario	Ваш день народження	誕生日	생일	您的生日	您的生日	UI
1146	Janeiro	січня	1月	1월	一月	一月	UI
1147	Fevereiro	лютого	2月	2월	二月	二月	UI
1148	Marco	березня	3月	3월	三月	三月	UI
1149	Abril	квітня	4月	4월	四月	四月	UI
1150	Maio	травня	5月	5월	五月	五月	UI
1151	Junho	червня	6月	6월	六月	六月	UI
1152	Julho	липня	7月	7월	七月	七月	UI
1153	Agosto	серпня	8月	8월	八月	八月	UI
1154	Setembro	вересня	9月	9월	九月	九月	UI
1155	Outubro	жовтня	10月	10월	十月	十月	UI
1156	Novembro	листопада	11月	11월	十一月	十一月	UI
1157	Dezembro	грудня	12月	12월	十二月	十二月	UI
1158	Isso reflete como o publico em geral percebe voce. Uma imagem publica positiva pode atrair mais oportunidades de negocio, melhores funcionarios e proporcionar uma boa reputacao durante eventos publicos ou crises. E mantida por meio de relacoes publicas positiva, praticas comerciais eticas e empreendimentos bem-sucedidos.	Він відображає те, як вас сприймає громадськість. Високий публічний імідж може залучити більше угод, кращих співробітників і забезпечити хорошу репутацію під час суспільних подій або криз. Підтримується завдяки правильному піару, етичним діловим практикам та успішними проєктами.	これは、一般の人々があなたをどのように認識しているかを反映するものです。好感度が高いと、より多くの取引や優秀な従業員を引き寄せ、社会的な出来事や危機の際に良い評判を得ることができます。積極的なPR、倫理的なビジネス慣行、事業の成功を通じて維持されます。	일반 대중이 당신에게 갖는 호감도입니다. 사회적 호감이 높으면 더 많은 거래와 더 나은 직원을 유치할 수 있고, 공공 행사나 위기 상황에서 좋은 입지를 확보할 수 있습니다. 사회적 호감은 긍정적인 홍보, 윤리적인 행보, 사업 면에서의 성공을 통해 산출됩니다.	这反映了公众对您的看法。高公众形象可以吸引更多交易、更好的员工，并在公共事件或危机中提供良好的地位。通过正面公关、合乎道德的商业行为和成功的企业来保持。	這反映了公眾對您的看法。高公眾形象可以吸引更多交易、更好的員工，並在公共事件或危機中提供良好的地位。通過正面公關、合乎道德的商業行為和成功的企業來保持。	UI hint
1159	Seu sucesso no mundo financeiro. Alto sucesso financeiro aumenta a confianca dos bancos, levando a melhores condicoes de emprestimo e oportunidades de investimento. E construido pela administracao de negocios bem-sucedidos, fazendo investimentos lucrativos e mantendo um alto patrimonio liquido.	Ваш успіх у фінансовому світі. Високий фінансовий успіх підвищує довіру з боку банків, що сприяє кращим умовам кредитування та інвестиційним можливостям. Досягається завдяки успішному веденню бізнесу, вигідним інвестиціям та підтримці високого рівня власного капіталу.	これは、あなたの経済界での成功度です。経済的成功の値が高いと、銀行からの信頼が高まり、より良い融資条件や投資機会を得られます。事業を成功させ、収益性の高い投資を行い、純資産を高く維持することによって築かれます。	금융계에서 거둔 성공입니다. 경제적 성공은 은행에서의 신용을 높여 더 나은 대출 조건과 투자 기회를 불러 옵니다. 경제적 성공은 사업 면에서의 성공, 수익성 있는 투자, 높은 순자산 보유를 통해 산출됩니다.	您在金融界的成就。高金融成就会增加银行的信任，从而获得更好的贷款条件和投资机会。成功经营企业、投资获利、保持高净资产，都是成功的基石。	您在金融界的成就。高金融成就會增加銀行的信任，從而獲得更好的貸款條件和投資機會。成功經營企業、投資獲利、保持高淨資產，都是成功的基石。	UI hint
